id,projectId,title,content,docType,version,createdById,createdAt,updatedAt
1,10,Agent Skill Lifecycle Brainstorm,"# Brainstorm: Blended Agent Skill Lifecycle
**Project:** Spec Task Board (ID: 10)
**Status:** Refined / Swarm Architecture
**Date:** 2026-04-08

## 1. Project Types & Architectural Flexibility
*   **Structured Epics:** Full workflows (Discovery -> Finalized).
*   **Freeform:** Simple Todo -> Done.
*   **Hybrid:** Structured parent Epics spawning sandboxed sub-boards.

## 2. Distributed Agent Swarm (Specialized Local Agents)
We leverage the WebSocket feed and OpenFang/OpenClaw to resource a swarm of small, local agents.

*   **Research Agent:** Triggered by `Plan`. Uses `code_index` to pre-fetch context. Logs `📁 [FILES TO REVIEW]`.
*   **Critic Agent:** Triggered by `Verify`. Compares code diffs against `SPECIFICATION.md`.
*   **Memory Agent:** Inspired by `OpenMemory`. Distills long comment threads into lean `BRAINSTORM` artifacts.

## 3. The Execution Protocol (Mermaid Flow)

```mermaid
sequenceDiagram
    participant Hub as Kanban Hub (Agent API)
    participant Fang as OpenFang (WebSocket Listener)
    participant Local as Local Critic Agent
    participant Cloud as Cloud Orchestrator

    Hub->>Fang: [WS Event] Task 51 -> Verify
    Fang->>Hub: GET /tasks/51?inline=true
    Fang->>Local: ""Verify these changes against Spec""
    Local-->>Hub: POST /comments ""Review Results""
    Note over Hub: If failure, Hub patches Task back to Execute
```

## 4. Refined Agent API Call Stack
*   `GET /api/agent/projects/:id/tasks/:id?inline=true&compact=true` (Context Acquisition)
*   `POST /api/agent/projects/:id/docs` (Knowledge Commitment)
*   `POST /api/agent/projects/:id/tasks/:id/comments` (Work Logging)
*   `POST /api/agent/projects/:id/tasks/:id/doc-links` (Context Binding)",BRAINSTORM,3,1,2026-04-08T11:31:28.089Z,2026-04-08T13:41:19.582Z
2,10,Project Constitution,"# SpecTask Constitution

## 1. Quality Standards
- **Safety First:** No agent shall modify `.env` or system credentials.
- **Atomic Changes:** Implementation should be surgical (1 file at a time).
- **Validation Required:** No task moves to ""Finalized"" without a verified `TEST_REPORT.md`.
- **Rust Standards:** All Rust code MUST pass `cargo fmt`, `cargo clippy` (with zero warnings), and `cargo test` before submission.

## 2. Git Governance
- **Pre-commit Hooks:** All Rust-based repositories must use the project-standard `.git/hooks/pre-commit` script to enforce quality gates locally.
- **Branching:** Work should occur in task-specific branches (e.g., `feat/SPEC-1-scaffold`).

## 3. Communication Rules
- Agents must use the `internal_monologue` for technical reasoning.
- Public `comments` are reserved for human-facing summaries.
- All ""Epics"" must have a linked `SPECIFICATION.md` before work begins.

## 4. Tech Stack Mandates
- **Backend:** Node.js / Prisma / Express.
- **Frontend:** Vue 3 / Tailwind 4 / DaisyUI 5.
- **Agent Skill:** Rust Binary (Compiled) using `rust-mcp-sdk` (pmcp).",CONSTITUTION,3,1,2026-04-08T11:36:56.995Z,2026-04-09T05:34:00.660Z
3,10,Rust MCP Orchestrator Spec,"# Technical Spec: Rust MCP

- Binary: `mcp-vibe-bridge`
- Protocol: MCP 1.0
- Auth: Delegate Key Only",SPECIFICATION,1,1,2026-04-08T13:03:27.006Z,2026-04-08T13:03:27.006Z
4,10,Product Platform Roadmap,"# Roadmap: The Vibe Tasks Product Platform
**Status:** Architecture Finalized / Universal Binary Ready
**Version:** 1.3.0 (Universal Swarm Edition)
**Date:** 2026-04-10

## 1. The ""Logic Hub"" Architecture
To support both high-end IDE agents and local shell scripts, the VibeTask Orchestrator is organized as a Rust Workspace:
*   **`vibe-core`**: Shared library containing the Hub API client and battle-hardened algorithms (Shrimp/SpecKit).
*   **`vibe-mcp`**: High-autonomy sidecar for Cursor/Claude.
*   **`vibe-cli`**: Lower-autonomy tool for terminal users, OpenFang laborers, and cron jobs.

## 2. Event-Driven Swarm Protocol
The platform acts as a shared nervous system for specialized agents.
1.  **Lobby (IRC):** For human-observable reasoning and bot-to-bot consensus.
2.  **Backbone (NATS.io):** For high-speed task claiming and machine data.
3.  **Runtime (OpenFang):** For resource management and secure execution of the labor swarm.

## 3. The ""Cron-to-Lattice"" Pattern
Sustainable automation is achieved by leveraging standard system utilities:
*   **Injection:** Linux `cron` uses `vibe-cli` to inject recurring tasks into the Hub.
*   **Observation:** The swarm listens to the Hub feed and autonomous laborers pick up the work.
*   **Verification:** The binary's scoring algorithm ensures automated jobs meet quality standards.

## 4. Implementation Roadmap

### Phase 1: Platform Foundation (Current)
- [x] Standardize Agent API prefix and `/me` tiering.
- [x] Implement `?inline=true` JIT context packet.
- [x] Ratify Master Manifest and Internal Logic Blueprint.

### Phase 2: Technical Scaffolding (Next)
- [ ] Initialize Rust Workspace (`vibe-core`, `vibe-mcp`, `vibe-cli`).
- [ ] Implement `vibe-cli task create/move/context` commands.
- [ ] Implement TOML-based Identity Registry.

### Phase 3: Swarm Integration (Advanced)
- [ ] Implement Vibe-Relay (Socket.IO to NATS/IRC).
- [ ] Bolt VibeMCP into OpenFang as a Tool Provider.
- [ ] Add ""Mission Support"" (YAML-driven state machines).
",BRAINSTORM,2,1,2026-04-08T15:55:11.933Z,2026-04-10T19:19:17.816Z
5,10,Project Type & Formality Profiles,"# Project Type & Formality Profiles

Vibe Tasks supports varying levels of ""Lattice Rigidity"" to accommodate different workflows.

## 1. Type: Product Design (High Formality)
**Target:** New feature development, complex systems.
**Rigidity:** Level 5 (Strict State Machine).
**Rules:**
- All tasks must move through all 6 Lifecycle columns.
- Mandatory `SPECIFICATION.md` before Planning.
- Human `accept-plan` required to spawn sub-boards.
- Verification requires independent `Critic Agent` sign-off.

## 2. Type: Sys-Admin / Ops (Low Formality)
**Target:** Helpdesk, server maintenance, one-off tickets.
**Rigidity:** Level 1 (Freeform).
**Rules:**
- Minimal columns: `Todo`, `Doing`, `Done`.
- No required artifacts.
- Tasks are usually ""Leaf Nodes"" (no recursion).
- Agents act as automated assistants (e.g., ""Renew SSL cert"") rather than architects.

## 3. Type: Hybrid (Dynamic Formality)
**Target:** Ongoing project with both maintenance and feature work.
**Rigidity:** Context-Dependent.
**Rules:**
- Main board is Freeform.
- Epic cards (Containers) trigger a ""Formality Escalation"" once drilled into.
- The sub-board enforces the Product Design workflow for that specific feature.

## 4. Implementation Idea: Formality Templates
Project settings should allow the owner to select a ""Formality Profile"" which automatically:
1. Initializes the correct columns.
2. Sets the `Agent Prompts` for those columns.
3. Configures the `POST /move` validation logic.",SPECIFICATION,1,1,2026-04-08T15:56:01.699Z,2026-04-08T15:56:01.699Z
6,10,Case Study: Recurring Automation,"# Case Study: Recurring Automation & Job Queues

## Overview
This profile transforms the Vibe Tasks board into a high-throughput **Automation Hub**. It leverages specialized local agents (resourced via OpenFang/OpenClaw) to claim, research, and execute recurring system tasks.

## 1. The Automation Lifecycle (Columns)

| Column | Goal | Agent Action |
| :--- | :--- | :--- |
| **1. Job Queue** | Bounty | Listen for WebSocket event. Claim task by assigning `delegateId`. |
| **2. Research** | Validation | Agent analyzes the specific request. Logs `📁 [FILES TO REVIEW]`. |
| **3. WIP** | Execution | Surgical implementation or system action. Logs `📁 [FILES TOUCHED]`. |
| **4. Audit** | Review | Human or Critic Agent verifies the automated result. |
| **5. Archive** | Archive | Task persists for historical visibility. Spawns next recurrence. |

## 2. The Recurrence Engine
To support sustainable automation, the platform implements a cloning mechanism:
*   **Trigger:** Task with `isRecurring: true` moves to the `Archive` column.
*   **Action:** The backend creates a shallow clone of the task.
*   **Result:** A fresh, unassigned version of the task is placed back in the **Job Queue**.

## 3. Distributed ""Claim"" Logic
To prevent agent collisions in a multi-threaded swarm:
1.  The Hub broadcasts a `TASK_CREATED` event.
2.  All listening agents (OpenFang instances) receive the notification.
3.  The first agent to successfully `PATCH` the `assigneeId` wins the task.
4.  Subsequent PATCH attempts from other agents are rejected with `409 Conflict`.

## 4. Integration with Local Tooling
*   **OpenFang:** Listens to the WS feed and maps Kanban state changes to local model invocations.
*   **Code Index:** Used during the **Research** phase to gather the necessary file context without human intervention.
",SPECIFICATION,1,1,2026-04-08T16:18:53.720Z,2026-04-08T16:18:53.720Z
7,10,SPEC-1 Implementation Plan,"## Core Rust Crate Setup
## Implement Vibe Client
## Implement Lattice Logic
## Implement MCP Server Transport",IMPLEMENTATION_PLAN,1,1,2026-04-08T16:37:20.367Z,2026-04-08T16:37:20.367Z
8,10,Agent API Ownership Policy,"# Policy: Agent API Ownership & Sovereignty
**Status:** Approved Specification
**Version:** 1.0.0
**Date:** 2026-04-08

## 1. The Sovereignty Matrix
To prevent alignment drift and recursive loops, we distinguish between **Governance** (Human) and **Execution** (Agent) capabilities.

| API Category | Action | Owner | Rationale |
| :--- | :--- | :--- | :--- |
| **Governance** | Create/Delete Project | Human | Prevents unauthorized resource creation. |
| **Governance** | Set Constitution | Human | The agent must be subject to the rules, not author. |
| **Governance** | Accept Plan | Human | Critical gate for spawning labor/sub-tasks. |
| **Execution** | Draft Spec/Plan | Agent | Primary artifact generation. |
| **Execution** | Move Task | Agent | Functional gate progression. |
| **Execution** | Log Work (Comments) | Agent | Transparency and work-tree synchronization. |
| **Intelligence** | Link Task to Doc | Agent | Maintaining recursive context. |

## 2. Behavioral Guardrails (The ""Push-back"" Protocol)
The Agent MCP Binary must enforce context sanity through the following behaviors:

### A. Context Ambiguity (Multiple Projects)
*   **The Problem:** User asks ""What is the status?"" while the agent has access to multiple delegated projects.
*   **The Rule:** The agent **must** list the accessible project names and ask for a specific ""Lens"" focus before performing analysis.
*   **Response Pattern:** *""I see access to 'SpecTask' and 'SysAdmin'. Which project should I analyze?""*

### B. Mandatory Redirection
*   **The Problem:** User asks the agent to perform a Governance action (e.g., ""Delete this project"").
*   **The Rule:** The agent **must** decline and provide direct navigation instructions to the Human UI.
*   **Response Pattern:** *""I do not have the authority to delete projects. Please navigate to **Project Settings > Danger Zone** to perform this action manually.""*

## 3. Optimized Agent Endpoints (The ""Aggregator"" Stack)
To support the Push-back protocol without token bloat, the following endpoints are required in the `/api/agent` prefix:

### `GET /api/agent/projects/summary`
*   **Returns:** Lean array of `{ id, name, formalityLevel, totalTasks, activeSprints }`.
*   **Usage:** Used for the ""Push-back"" list and global status dashboards.

### `GET /api/agent/projects/:id/tasks?compact=true`
*   **Behavior:** Returns only `id`, `name`, and `statusId` for all tasks in a project.
*   **Usage:** Allows the agent to calculate ""Stats"" (e.g., ""3 in TODO, 1 in Execute"") using minimal tokens.

## 4. Formality Steering (Lattice Metadata)
Projects carry a `formalityLevel` (1-5) in their metadata. The agent must check this before each turn:
*   **Level 5 (Product Design):** Enforce SpecKit/Shrimp state machine (Spec -> Plan -> Execute).
*   **Level 1 (Job Queue):** Skip Design phases; move directly to Execution.

---
*Ratified for delivery to the Backend and Agent Development teams.*
",CONSTITUTION,1,1,2026-04-08T18:08:31.527Z,2026-04-08T18:08:31.527Z
9,10,Agent API Requirements (Technical) - v2,"# Requirements: Agent API Implementation
**Status:** Final Technical Specification
**Version:** 1.3.0
**Date:** 2026-04-10

## 1. Platform Agent Tier (Admin-Managed)
Platform agents are system-wide identities restricted to controlled read-only access.

### Default Scope (Immutable):
- `GET /api/agent/health`
- `GET /api/agent/me`

### Configurable Read Scope:
- `GET /api/agent/projects`
- `GET /api/agent/projects/:projectId/tasks`
- `GET /api/agent/projects/:projectId/tasks/:taskId`

### Management (Admin Only):
- CRUD operations via `/api/admin/platform-agents/*` endpoints.
- Support for key rotation and `metadata` customization.

## 2. Project Agent Tier (Delegate-Managed)
Standard agents delegated by users to specific projects with full labor permissions.

### Primary Endpoints:
- `GET .../tasks/:id?inline=true`: Single-call JIT context assembly.
- `POST .../tasks/:id/accept`: Direct task ownership claim.
- `POST .../docs`: Sovereign write access to the Knowledge Hub.
- `POST .../doc-links`: Binding artifacts to the task lattice.

## 3. Schema Requirements (The Lattice)
Ensure the `Task` and `Agent` models support:
- `isPlatformAgent`: Boolean flag.
- `apiAllowance`: JSON structure containing `effectiveReadEndpoints`.
- `parentId`: Recursive hierarchy support.
- `isContainer`: Epic/Sprint indicator.
",SPECIFICATION,2,1,2026-04-08T18:19:48.014Z,2026-04-10T15:53:33.041Z
10,10,Rust MCP Binary Scaffolding,"# Technical Scaffolding: vibe-mcp-binary

## 1. Project Dependencies
- `mcp-protocol-sdk`: Standard RPC layer.
- `reqwest`: For Agent API calls.
- `tokio`: Async runtime.
- `serde_json`: Context packet parsing.

## 2. Module Tree
- `main.rs`: Entry point & tool registration.
- `client.rs`: The `/api/agent` wrapper.
- `protocol.rs`: The Lattice state machine logic.
- `context.rs`: JIT prompt assembly (`?inline=true` handler).",BRAINSTORM,1,1,2026-04-08T18:57:59.910Z,2026-04-08T18:57:59.910Z
