id,taskId,userId,content,createdAt,updatedAt
1,1,1,Pierwszy komentarz,2025-06-18T13:07:13.417Z,2025-06-18T13:07:13.417Z
2,1,2,Drugi komentarz,2025-06-18T13:07:13.417Z,2025-06-18T13:07:13.417Z
3,1,1,Trzeci komentarz,2025-06-18T13:07:13.417Z,2025-06-18T13:07:13.417Z
4,1,3,Czwarty komentarz,2025-06-18T13:07:13.418Z,2025-06-18T13:07:13.418Z
5,1,2,Piąty komentarz,2025-06-18T13:07:13.419Z,2025-06-18T13:07:13.419Z
7,2,1,<p>we can add comments to tasks</p>,2025-06-18T13:16:53.699Z,2025-06-18T13:16:53.699Z
8,16,1,tEST,2025-07-04T13:38:05.801Z,2025-07-04T13:38:05.801Z
9,12,1,Attempting to save a comment,2025-07-08T16:35:07.282Z,2025-07-08T16:35:07.282Z
10,12,1,Attempting to save a comment,2025-07-08T16:35:28.993Z,2025-07-08T16:35:28.993Z
11,2,1,This is a new comment,2025-07-09T11:37:34.151Z,2025-07-09T11:37:34.151Z
12,3,1,New Comments,2025-07-09T11:41:36.579Z,2025-07-09T11:41:36.579Z
13,3,1,New Comments 2,2025-07-09T11:41:48.003Z,2025-07-09T11:41:48.003Z
14,15,1,Adding a new Comment,2025-07-09T11:59:52.253Z,2025-07-09T11:59:52.253Z
15,25,1,I an making a new comment,2025-07-09T12:16:47.789Z,2025-07-09T12:16:47.789Z
16,5,1,New Comments abound,2025-07-09T12:17:47.242Z,2025-07-09T12:17:47.242Z
17,4,1,adding a new comment,2025-07-09T12:37:37.188Z,2025-07-09T12:37:37.188Z
18,2,1,yet another comment,2025-07-09T12:38:04.358Z,2025-07-09T12:38:04.358Z
19,20,1,Yet now we try again,2025-07-09T12:46:38.834Z,2025-07-09T12:46:38.834Z
20,3,1,renaming and altering status had the desired impact,2025-07-09T13:13:39.679Z,2025-07-09T13:13:39.679Z
21,21,1,adding a new comment to task pie 22,2025-07-10T07:56:09.350Z,2025-07-10T07:56:09.350Z
22,21,1,test,2025-07-10T07:56:31.003Z,2025-07-10T07:56:31.003Z
23,21,1,Third Test,2025-07-10T07:57:06.226Z,2025-07-10T07:57:06.226Z
24,12,1,testing the comments again `,2025-07-10T08:00:59.765Z,2025-07-10T08:00:59.765Z
25,5,1,the status did not change,2025-07-10T11:19:22.221Z,2025-07-10T11:19:22.221Z
26,2,1,comment,2025-07-10T11:32:53.431Z,2025-07-10T11:32:53.431Z
27,3,1,once again - we meet,2025-07-10T13:09:05.017Z,2025-07-10T13:09:05.017Z
28,23,1,Testing Comments,2025-07-10T14:08:58.899Z,2025-07-10T14:08:58.899Z
29,16,1,Adding a Relation to PIE-2,2025-07-11T15:47:14.435Z,2025-07-11T15:47:14.435Z
30,1,1,Czwarty komentarz -- I should look these words up on google translate or something,2025-07-12T11:31:06.302Z,2025-07-12T11:31:06.302Z
31,100,1,how do I accept the plan,2026-04-11T21:21:50.784Z,2026-04-11T21:21:50.784Z
