id,taskId,userId,text,createdAt,updatedAt
1,1,1,Created task,2025-06-18T13:07:13.484Z,2025-06-18T13:07:13.484Z
2,1,1,Created task,2025-06-18T13:07:13.484Z,2025-06-18T13:07:13.484Z
3,1,3,Created Task,2025-06-18T13:07:13.484Z,2025-06-18T13:07:13.484Z
4,1,1,Changed task status from TODO to QA TEST,2025-06-18T13:11:44.850Z,2025-06-18T13:11:44.850Z
5,2,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-18T13:11:46.311Z,2025-06-18T13:11:46.311Z
6,1,1,Changed task status from QA TEST to IN PROGRESS,2025-06-18T13:11:47.631Z,2025-06-18T13:11:47.631Z
7,2,1,Changed task status from READY FOR PROD to QA TEST,2025-06-18T13:12:05.279Z,2025-06-18T13:12:05.279Z
8,2,1,Changed task status from QA TEST to TODO,2025-06-18T13:12:09.489Z,2025-06-18T13:12:09.489Z
9,3,1,Changed task status from TODO to QA TEST,2025-06-18T13:13:50.113Z,2025-06-18T13:13:50.113Z
10,2,1,Changed task status from TODO to QA TEST,2025-06-18T13:14:08.616Z,2025-06-18T13:14:08.616Z
11,1,1,Changed task status from IN PROGRESS to TODO,2025-06-18T13:14:09.855Z,2025-06-18T13:14:09.855Z
12,3,1,Changed task status from QA TEST to IN PROGRESS,2025-06-18T13:14:10.801Z,2025-06-18T13:14:10.801Z
13,1,1,Changed task status from TODO to QA TEST,2025-06-18T13:14:20.610Z,2025-06-18T13:14:20.610Z
14,3,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-18T13:14:22.762Z,2025-06-18T13:14:22.762Z
15,3,1,Changed task status from READY FOR PROD to TODO,2025-06-18T13:14:23.895Z,2025-06-18T13:14:23.895Z
16,3,1,Changed task status from TODO to IN PROGRESS,2025-06-18T13:16:25.573Z,2025-06-18T13:16:25.573Z
17,2,1,Changed task status from QA TEST to TODO,2025-06-18T13:16:26.452Z,2025-06-18T13:16:26.452Z
18,3,1,Changed task status from IN PROGRESS to TODO,2025-06-18T13:17:15.932Z,2025-06-18T13:17:15.932Z
19,1,1,Changed task status from QA TEST to TODO,2025-06-18T13:17:17.991Z,2025-06-18T13:17:17.991Z
20,3,1,Changed task status from TODO to QA TEST,2025-06-18T13:18:40.494Z,2025-06-18T13:18:40.494Z
21,1,1,Changed task status from TODO to READY FOR PROD,2025-06-18T13:18:42.217Z,2025-06-18T13:18:42.217Z
22,3,1,Changed task status from QA TEST to TODO,2025-06-18T13:41:02.339Z,2025-06-18T13:41:02.339Z
23,1,1,Changed task status from READY FOR PROD to IN PROGRESS,2025-06-18T13:41:03.611Z,2025-06-18T13:41:03.611Z
24,2,1,Changed task status from TODO to QA TEST,2025-06-18T13:58:37.172Z,2025-06-18T13:58:37.172Z
25,3,1,Changed task status from TODO to QA TEST,2025-06-18T13:58:39.099Z,2025-06-18T13:58:39.099Z
26,1,1,Changed task status from IN PROGRESS to TODO,2025-06-18T17:16:15.452Z,2025-06-18T17:16:15.452Z
27,2,1,Changed task status from QA TEST to IN PROGRESS,2025-06-18T17:16:16.963Z,2025-06-18T17:16:16.963Z
28,2,1,Changed task status from IN PROGRESS to READY FOR PROD,2025-06-18T17:16:18.762Z,2025-06-18T17:16:18.762Z
29,3,1,Changed task status from QA TEST to IN PROGRESS,2025-06-19T18:19:28.495Z,2025-06-19T18:19:28.495Z
30,2,1,Changed task status from READY FOR PROD to QA TEST,2025-06-19T18:19:32.274Z,2025-06-19T18:19:32.274Z
31,3,1,Changed task status from IN PROGRESS to TODO,2025-06-19T18:19:34.880Z,2025-06-19T18:19:34.880Z
32,2,1,Changed task status from QA TEST to IN PROGRESS,2025-06-19T18:19:36.126Z,2025-06-19T18:19:36.126Z
