id,name,description,projectId,projectColumnId,assigneeId,createdById,order,identifier,relationMode,relationId,parentId,isContainer,planAccepted,subBoardOutlineColor,createdAt,updatedAt
1,Pierwszy task R2 test,Opis pierwszego taska2,1,5,1,1,3,PIE-1,,,,false,false,,2025-06-18T13:07:13.189Z,2025-07-12T11:31:28.892Z
2,Drugi task R1,Opis drugiego taska,1,5,2,1,1,PIE-2,related-to,1,,false,false,,2025-06-18T13:07:13.189Z,2025-07-12T11:31:20.168Z
3,Rename a task,Opis trzeciego taska,1,3,2,1,1,PIE-3,,,,false,false,,2025-06-18T13:07:13.189Z,2026-04-11T16:55:30.648Z
4,Czwarty task,Opis backlog taska,1,5,2,1,3,PIE-4,,,,false,false,,2025-06-18T13:07:13.189Z,2025-07-12T11:31:20.221Z
5,a Piąty task Tweak,Opis piatego taska tweaks,1,2,1,1,5,PIE-5,,,,false,false,,2025-06-18T13:07:13.189Z,2025-07-12T11:31:20.100Z
6,Szósty task,Opis szóstego taska,1,,1,1,6,PIE-6,,,,false,false,,2025-06-18T13:07:13.190Z,2025-06-18T13:07:13.190Z
7,Siódmy task,Opis siódmego taska,1,,1,2,7,PIE-7,,,,false,false,,2025-06-18T13:07:13.190Z,2025-06-18T13:07:13.190Z
8,Ósmy task,Opis ósmego taska,1,,3,3,8,PIE-8,,,,false,false,,2025-06-18T13:07:13.190Z,2025-06-18T13:07:13.190Z
9,Dziewiąty task,Opis dziewiątego taska,1,,2,3,9,PIE-9,,,,false,false,,2025-06-18T13:07:13.190Z,2025-06-18T13:07:13.190Z
10,Dziesiąty task 2,Opis dziesiątego taska,1,5,2,1,2,PIE-10,,,,false,false,,2025-06-18T13:07:13.190Z,2025-07-12T12:12:36.830Z
11,Jedenasty task -altered,Opis jedenastego taska,1,3,1,1,2,PIE-11,,,,false,false,,2025-06-18T13:07:13.190Z,2026-04-11T16:55:30.654Z
12,Dwunasty task tweaks,Opis dwunastego taska,1,1,1,1,12,PIE-12,,,,false,false,,2025-06-18T13:07:13.190Z,2025-07-12T11:31:19.990Z
13,Trzynasty task,Opis trzynastego taska Adding a little more to the description,1,2,2,3,1,PIE-13,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:20.103Z
14,Czternasty task 1,Opis czternastego taska,1,2,2,3,14,PIE-14,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:20.102Z
15,Piętnasty task,Opis piętnastego taska,1,3,2,1,3,PIE-15,,,,false,false,,2025-06-18T13:07:13.191Z,2026-04-11T16:55:30.654Z
16,Szesnansty task,Opis szesnanstego taska,1,4,1,2,16,PIE-16,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:20.168Z
17,Siedemnast task,Opis siedemnastego taska,1,1,3,3,3,PIE-17,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:19.993Z
18,Osiemnasty task,Opis dziewietnastego taska,1,3,2,3,0,PIE-18,,,,false,false,,2025-06-18T13:07:13.191Z,2026-04-11T16:55:30.653Z
19,Dziewietnasty task,Opis dwudziestego taska,1,,2,1,19,PIE-19,,,,false,false,,2025-06-18T13:07:13.191Z,2025-06-18T13:07:13.191Z
20,Dwudziesty task,Opis dwudziestego pierwszego taska,1,2,1,1,1,PIE-21,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:19.997Z
21,Dwudziesty pierwszy task,Opis dwudziestego drugiegi taska,1,1,1,1,22,PIE-22,,,,false,false,,2025-06-18T13:07:13.191Z,2025-07-12T11:31:19.996Z
22,Dwudziesty drugi task,Opis dwudziestego trzeciego taska,1,,2,3,23,PIE-23,,,,false,false,,2025-06-18T13:07:13.191Z,2025-06-18T13:07:13.191Z
23,Dwudziesty trzeci task,Opis dwudziestego czwartego taska,1,,2,3,24,PIE-24,,,,false,false,,2025-06-18T13:07:13.192Z,2025-07-10T14:09:12.624Z
24,Test 1,<p>test <strong>Bold</strong> UnderLine&nbsp;<em>iTAL</em> </p>,2,9,5,1,1,DRU-1,,,,false,false,,2025-06-20T18:35:14.315Z,2025-06-21T18:25:39.614Z
25,Renaming this task,<p>Description&nbsp;input&nbsp;field&nbsp;default&nbsp;text&nbsp;should&nbsp;be&nbsp;a&nbsp;much&nbsp;lighter&nbsp;color</p>,1,2,2,1,21,PIE-25,related-to,3,,false,false,,2025-06-21T05:31:43.005Z,2025-07-12T11:31:20.101Z
26,A better Name,<p>3333333333333</p>,1,4,1,1,2,PIE-26,,,,false,false,,2025-06-21T07:28:33.476Z,2025-07-12T11:31:20.165Z
